Browse,Suchen
Refresh,Ger„t erneut finden 
Activate,Aktivieren
File Name,Dateiname
Content Name,Inhaltsname
Content Type,Inhaltstyp
Status,Status
Installed Content,Installierte Inhalte
Patch Navcore (PNDNavigator/ttsystem),Patch Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Erstellen von Meta aus installiertem Inhalt
Update Meta,Update Meta
Tools,Tools
Update QuickGPSFix,Update QuickGPSFix
GPS Chipset:,GPS Chipset:
QuickGPSFix,QuickGPSFix
Help,Hilfe
Auto-Extract,Automatisch Entpacken
Download To Device,Download auf das Ger„t
Download To Folder,Download in den Ordner
Temporary Download Folder:,Tempor„rer Download-Ordner
Map Country/Region (select from list or enter manually, case-sensitive):,Karte Land/Region (aus der Liste ausw„hlen oder manuell eingeben Groá-/Kleinschreibung bercksichtigen):
Map Version:,Kartenversion:
Map Kind/Generation:,Kartentyp/generation:
Map Downloader,Kartendownloader
Manual Install,Manuelle Installation
Easy/Automatic Install,Einfache/Automatische Installation
Special thanks to the Maverick,Besonderer Dank an @The Maverick
Use Premium Cameras (where possible),Premium-Kameras verwenden (wenn m”glich)
Safety Cam Downloader,Blitzer laden
Install Postcodes/Zipcodes,Installieren von Postleitzahlen
Singapore,Singapur
Great Britain,Groábritannien
Netherlands,Niederlande
Postcodes,Postleitzahlen
Custom/Unknown Traffic Providers:,Benutzerdefinierte/Unbekannte Verkehrsanbieter:
Known Traffic Providers:,Bekannte Verkehrsanbieter:
TX02 (Marigot) - for Carminat,TX02 (Marigot) - fr Carminat
TX01 (Default) - for most devices,TX01 (Standard) - fr die meisten Ger„te
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Name
Country,Land
Add Custom Provider (Advanced),Hinzufgen eines benutzerdefinierten Anbieters (Erweitert)
Save As...,Speichern unter...
Enable/Disable All Providers,Aktivieren/Deaktivieren aller Anbieter
Install To Device,Auf dem Ger„t installieren
RDS-TMC,RDS-TMC
Source:,Quelle:
TTActivator,TTActivator
Change TTActivator Language,TTActivator-Sprache „ndern
Paid,Bezahlt
NAV3 Tools,NAV3 Tools
Install Patch,Patch installieren
Uninstall Patch,Patch deinstallieren
Reboot Device,Ger„t neustarten
Upload Meta To Device,Meta auf Ger„t hochladen
Install TT Package Files,TT-Paketdateien installieren
Delete Maps from Internal Memory,Karten aus dem internen Speicher l”schen
Device Storage Usage,Ger„tespeichernutzung
Internal Memory:,Interner Speicher:
SD Card:,SD-Karte:
Special thanks to MSTMS team.,Besonderer Dank geht an das MSTMS-Team.
Standard (MSTMS):,Standard (MSTMS):
Truck (MSTMS Truck):,LKW (MSTMS Truck):
Install Standard Patch,Installieren Sie den Standard-Patch
Install Truck Patch,LKW-Patch installieren
For navcore 7.8x Devices and above (cspeech/ASR/TTS/vocalizer only),Fr Navcore 7.8x Ger„te und h”her (nur Cspeech/ASR/TTS/Vocalizer)
For navcore 7.8x Devices and above (none included),Fr Navcore 7.8x Ger„te und h”her (keine enthalten)
For navcore 7.8x devices and above (TTS only),Fr Navcore 7.8x Ger„te und h”her (nur TTS)
For navcore 8.2x devices and above (IQroutes/ALG/TTS/vocalizer only),Fr Navcore 8.2x Ger„te und h”her (nur IQ-Routes/ALG/TTS/Vocalizer)
For navcore 9.x devices,Fr Navcore 9.x Ger„te
For navcore 9.x devices (no ASR),Fr Navcore 9.x Ger„te (kein ASR)
For truck navcore 9.x devices,Fr LKW Navcore 9.x Ger„te
For NAV3 and navcore 9.x devices,Fr NAV3 und Navcore 9.x Ger„te
For Mazda NB1 and navcore 9.x devices,Fr Mazda NB1 und Navcore 9.x Ger„te
For NAV3 and navcore 9.x devices (no ASR),Fr NAV3 und Navcore 9.x Ger„te (kein ASR)
For Renault R-Link and navcore 9.x devices,Fr Renault R-Link, Smart-Media und Navcore 9.x Ger„te
"A new version of TTActivator ({0}) is available, would you like to update now?,""Eine neue Version von TTActivator ist verfgbar, m”chten Sie diese jetzt aktualisieren?"""
"An error occurred while downloading the update:
{0},""Beim Herunterladen des Updates ist ein Fehler aufgetreten:"
"{0}"""
"TTActivator has downloaded the latest version to:
{0}

Please close TTActivator and then extract/replace the old version.,""TTActivator hat die neueste Version heruntergeladen auf:"
{0}

"Schlieáen Sie den TTActivator und extrahieren/ersetzen Sie dann die alte Version."""
QuickGPSFix Expiry: ,QuickGPSFix Ablauf: 
GPS Chipset,GPS Chipset
Activated,Aktiviert
Not Activated,Nicht aktiviert
Missing Meta/Blowfish,z.Z. kein Meta-Eintrag vorhanden
No Activation Needed,Keine Aktivierung erforderlich
Please wait...,Bitte warten?
QuickGPSFix files updated successfully!,QuickGPSFix-Dateien erfolgreich aktualisiert!
"An error occurred while downloading or installing the QuickGPSFix files.

{0},""Beim Herunterladen oder Installieren der QuickGPSFix-Dateien ist ein Fehler aufgetreten."

"{0}"""
Update QuickGPSFix,QuickGPSFix aktualisieren
The meta code specified for this content {0}is not correct.,Der fr diesen Inhalt{0} angegebene Metacode ist nicht korrekt.
"An error occurred while activating '{0}':

{1},""Beim Aktivieren von '{0}' ist ein Fehler aufgetreten:"

"{1}"""
{0} item(s) activated successfully!,{0} Artikel erfolgreich aktiviert!
Navcore has been patched successfully!,Navcore wurde erfolgreich gepatcht!
"Navcore patch failed, it might already be patched!,""Navcore-Patch fehlgeschlagen, sie k”nnte bereits gepatcht sein!"" [”=oe]"
"An error occurred during patching:

{0},""Beim Patchen ist ein Fehler aufgetreten:"

"{0}"""
Meta has been updated successfully!,Meta wurde erfolgreich aktualisiert!
An unknown error occurred while updating meta.,Beim Aktualisieren der Meta ist ein unbekannter Fehler aufgetreten.
"An error occurred while downloading the selected map.

{0},""Beim Herunterladen der ausgew„hlten Karte ist ein Fehler aufgetreten."

"{0}"""
"

Also, remember to go to 'Installed Content' and activate the new map.,"""

"Denken Sie auch daran, zum Reiter ""Installierter Inhalt"" zu wechseln und die neue Karte zu aktivieren."""
"Obtaining links for selected map, please wait...,""Suche/Erhalte Links fr ausgew„hlte Karten, bitte warten..."""
"An error occurred while downloading the selected map. Ensure you are connected to the internet and that the map configuration you have chosen is valid.,""Beim Herunterladen der ausgew„hlten Karte ist ein Fehler aufgetreten. Stellen Sie sicher, dass Sie mit dem Internet verbunden sind und dass die von Ihnen gew„hlte Kartenkonfiguration gltig ist"""
{0} v{1} ({2}) requires {3} of space. {4}. Do you wish to continue?,{0} v{1} ({2}) braucht {3} Platz. {4}. M”chten Sie fortfahren?
Also, this map currently does not have a meta code available and cannot be activated in TTActivator,Auáerdem ist fr diese Karte derzeit kein Metacode verfgbar und kann in TTActivator nicht aktiviert werden
"If you intend to activate this map, make sure a meta code for it exists,""Wenn Sie diese Karte aktivieren m”chten, stellen Sie sicher, dass ein Metacode dafr vorhanden ist. Bitte auch in ""Tools"" ""Update Meta"" nutzen"""
"Also, good news, TTActivator is able to activate this map,""Gute Nachrichten, TTActivator ist in der Lage, diese Karte zu aktivieren"""
"Map has been successfully downloaded:

,""Die Karte wurde erfolgreich heruntergeladen:"

"
Map has been successfully downloaded: {0}{1},Die Karte wurde erfolgreich heruntergeladen: {0}{1}
Extracting, please wait..."",""Extrahieren, bitte warten?"""
Downloading,Herunterladen
"TTActivator was unable to recognise the following maps, they may require manual installation of safety cameras:
 - {0},""TTActivator konnte die folgenden Karten nicht erkennen, sie k”nnen die manuelle Installation von Sicherheitskameras erfordern:"
" - {0}"""
An error occurred while downloading the safety cameras: {0},Beim Herunterladen der Blitzer ist ein Fehler aufgetreten: {0}
All safety cameras have been successfully installed and activated.,Alle Blitzer wurden erfolgreich installiert und aktiviert
"Safety cameras have been downloaded, please manually extract the files to the matching map folders and activate using TTActivator.

,""Sicherheitskameras wurden heruntergeladen, die Dateien bitte manuell in die passenden Kartenordner extrahieren und mit TTActivator aktivieren."

"
Select the folder for the TT device:,W„hlen Sie den Ordner fr das TT-Ger„t aus:
Are you sure you want to disable auto-extract? This means that downloaded maps will stay as a *.zip or *.ttpkg file.,M”chten Sie den automatischen Extrakt wirklich deaktivieren? Dies bedeutet, dass heruntergeladene Karten als *.zip- oder *.ttpkg-Datei bleiben."""
"An error occurred while downloading the zipcodes. Ensure you are connected to the internet and that the map version entered is valid.,""Beim Herunterladen der Postleitzahlendateien ist ein Fehler aufgetreten. Stellen Sie sicher, dass Sie mit dem Internet verbunden sind und dass die eingegebene Kartenversion gltig ist."""
Postcode files have been installed successfully!,Postleitzahlendateien wurden erfolgreich installiert!
An error occurred while downloading or installing the postcode files.,Beim Herunterladen oder Installieren der Postleitzahlendateien ist ein Fehler aufgetreten.
RDS-TMC configuration installed successfully!,RDS-TMC-Konfiguration erfolgreich installiert!
An error occurred while saving the RDS-TMC configuration.,Beim Speichern der RDS-TMC-Konfiguration ist ein Fehler aufgetreten.
RDS-TMC configuration saved successfully!,RDS-TMC-Konfiguration erfolgreich gespeichert!
{0} item(s) available for activation.,{0} Artikel(en) fr die Aktivierung verfgbar.
"Can't be activated because blowfish/meta is code missing.,""Kann nicht aktiviert werden, da der Eintrag in der Meta.txt fehlt. Bitte versuche, diesen ber ""Tools"", ""Update Meta"", zu erhalten."""
Equivalent Meta Available,Žquivalenter  Meta-Eintrag verfgbar
Unable to obtain the latest QuickGPSFix files from the TomTom server.,Die neuesten QuickGPSFix-Dateien k”nnen nicht vom TomTom-Server abgerufen werden.
QuickGPSFix files have installed successfully!,QuickGPSFix-Dateien wurden erfolgreich installiert!
"Select a folder to download the safety cameras to:,""W„hlen Sie einen Ordner aus, in den Sie die Blitzer herunterladen m”chten:"""
All safety cameras have been successfully downloaded.,Alle Blitzer wurden erfolgreich heruntergeladen.
Your device has an unsupported navcore version. You must have one of the following versions installed:,Ihr Ger„t verfgt ber eine nicht untersttzte Navcore-Version. Sie mssen eine der folgenden Versionen installiert haben:
"Connecting to device, please wait...,""Verbindung zum Ger„t wird hergestellt, bitte warten..."""
"Could not establish a connection to the device. Make sure that it is connected to your PC.,""Es konnte keine Verbindung zum Ger„t hergestellt werden. Stellen Sie sicher, dass es an Ihren PC/Mac  angeschlossen ist."""
"The following processes are connected to the device. Please close them before continuing:,""Die folgenden Prozesse sind mit dem Ger„t verbunden. Bitte schlieáen Sie sie, bevor Sie fortfahren:"""
"Triggering device, please wait...,""Ausl”sen des Ger„ts, bitte warten..."" [If it means: Restart, then : ""Ger„t wird neu gestartet, bitte warten...""]  [ If it means: Disconnect from PC/Mac, then: ""Ger„t wird entfernt, bitte warten...""] „=ae"
The device did not respond to the trigger in a timely manner. Please check your device connection.,Das Ger„t reagierte nicht rechtzeitig. Bitte berprfen Sie Ihre Ger„teverbindung.
"Job list has been uploaded to the device, waiting for files to be requested...,""Die Jobliste wurde auf das Ger„t hochgeladen und wartet darauf, dass Dateien angefordert werden..."""
<Unknown>,<Unbekannt>
Uploading:,Hochladen:
Installing:,Installieren:
"Jobs have completed, waiting for device to finish everything...,""Die Jobs sind abgeschlossen und warten darauf, dass das Ger„t alles beendet..."""
"Validating packages, please wait...,""Pakete werden validiert, bitte warten..."""
The following packages appear to be corrupted and are likely to fail during installation. Do you want to continue anyway? (not recommended),Die folgenden Pakete scheinen besch„digt zu sein und schlagen wahrscheinlich w„hrend der Installation fehl. M”chtest du trotzdem weitermachen? (nicht empfohlen)
"The following packages appear to be incomplete. If multiple parts exist, please make sure to select all of them together at the same time. Do you want to continue anyway? (not recommended),""Die folgenden Pakete scheinen unvollst„ndig zu sein. Wenn mehrere Teile vorhanden sind, stellen Sie bitte sicher, diese alle gleichzeitig zu markieren/auszuw„hlen. M”chtest du trotzdem weitermachen? (nicht empfohlen)"""
"There is not enough space present on the device to install the specified content.,""Auf dem Ger„t ist nicht gengend Speicherplatz vorhanden, um den angegebenen Inhalt zu installieren."""
The following packages caused an error:,Die folgenden Pakete haben einen Fehler verursacht:
Message:,Hinweis:
"The device reports that only {0} of free space is available.,""Das Ger„t meldet, dass nur {0} freier Speicherplatz verfgbar sind."""
An unexpected error occurred while preparing the package files.,Beim Vorbereiten der Paketdateien ist ein unerwarteter Fehler aufgetreten.
"Please make sure the files are not in use by another program.,""Bitte stellen Sie sicher, dass die Dateien nicht von einem anderen Programm verwendet werden."""
"Please make sure that your internet connection is working properly.,""Bitte stellen Sie sicher, dass Ihre Internetverbindung ordnungsgem„á funktioniert."""
The patch has been installed successfully.,Der Patch wurde erfolgreich installiert.
The patch has been removed from the device.,Der Patch wurde vom Ger„t entfernt.
The maps have been removed from the device's internal memory.,Die Karten aus dem internen Speicher des Ger„tes wurden entfernt.
The map kind/generation you have selected is not compatible with this device.,Die von Ihnen ausgew„hlte Kartenart / -generation ist mit diesem Ger„t nicht kompatibel.
The map has been successfully installed to the device.,Die Karte wurde erfolgreich auf dem Ger„t installiert.
"The temporary files for this map are still present on the machine. Do you want to keep them to attempt re-installation later?,""Die tempor„ren Dateien fr diese Karte sind noch auf dem Computer vorhanden. M”chten Sie sie behalten, um sp„ter eine Neuinstallation zu versuchen?"""
"This will delete all maps stored in your device's internal memory along with the navcore patch. You will need to reapply the patch again afterwards. Are you sure you wish to continue?,""Dadurch werden alle im internen Speicher Ihres Ger„ts gespeicherten Karten zusammen mit dem Navcore-Patch gel”scht. Sie mssen den Patch anschlieáend erneut anwenden. Sind Sie sicher, dass Sie fortfahren m”chten?"""
All safety cameras have been successfully installed.,Alle Blitzer wurden erfolgreich installiert.
"Remember to upload the latest meta and then reboot your device from the 'NAV3 Tools' menu to automatically activate the map.,""Denken Sie daran, die neueste Meta.txt ber ""Tools"" ""Update Meta"""" herunterzuladen und Ihr Ger„t dann ber das Men 'NAV3 Tools' neu zu starten, um die Karte automatisch zu aktivieren."""
Meta has been uploaded successfully to the device.,Meta.txt wurde erfolgreich auf das Ger„t hochgeladen.
"The standard patch activates content each time the device is rebooted using a built-in keygen. All that is required is an up-to-date meta file to be uploaded to the device.,""Der Standard-Patch aktiviert den Inhalt jedes Mal, wenn das Ger„t mit einem integrierten Keygen neu gestartet wird. Alles, was ben”tigt wird, ist eine aktuelle Meta.txt Datei, die auf das Ger„t hochgeladen werden kann."""
"The truck patch is the same as the standard patch, but it will also unlock heavy vehicle types such as truck or bus when using a TRUCK map.,""Der LKW-Patch ist der gleiche wie der Standard-Patch, entsperrt jedoch auch Fahrzeugtypen wie LKW oder Bus, wenn eine LKW-Karte verwendet wird."""
"TTActivator could not start the local server. Please accept the 'User Account Control' prompt or run TTActivator as an administrator.,TTActivator konnte den lokalen Server nicht starten. Bitte akzeptieren Sie das Dialogfeld """"Benutzerkontensteuerung"""" oder fhren Sie TTActivator als Administrator aus."
RDS-TMC Configuration,RDS-TMC-Konfiguration
Expired,Abgelaufen
No safety cameras could be found from the TT server.,Es konnten keine Blitzer auf dem TT Server gefunden werden.
This will delete all safety cameras (including licenses) from your device's internal memory. Do you wish to continue?,Dies wird alle Blitzer (und Freischaltcodes) vom internen Speicher l”schen. Willst Du fortfahren? 
The safety cameras have been removed from the device's internal memory.,Die Blitzer wurden vom internen Speicher gel”scht.
